A130740,티피씨글로벌
A131030,디에이치피코리아
A131090,시큐브
A131100,스카이이앤엠
A131180,딜리
A131220,대한과학
A131290,티에스이
A131370,알서포트
A131390,피앤이솔루션
A131400,액트
A131760,파인텍
A131970,테스나
A133750,메가엠디
A134060,이퓨쳐
A134580,디엠티
A136480,하림
A136510,쎄미시스코
A136540,윈스
A137400,피엔티
A137940,넥스트아이
A137950,제이씨케미칼
A138070,신진에스엠
A138080,오이솔루션
A138360,에이씨티
A138580,비즈니스온
A138610,나이벡
A138690,엘아이에스
A139050,시티랩스
A139670,키네마스터
A140070,서플러스글로벌
A140410,메지온
A140520,대창스틸
A140670,알에스오토메이션
A140860,파크시스템스
A141000,비아트론
A141020,포티스
A141070,맥스로텍
A141080,레고켐바이오
A142210,유니트론텍
A142280,녹십자엠에스
A142760,바이오리더스
A143160,아이디스
A143240,사람인에이치알
A143540,영우디에스피
A144510,녹십자랩셀
A144960,뉴파워프라즈마
A145020,휴젤
A147760,마이크로프랜드
A147830,제룡산업
A148140,비디아이
A148150,세경하이테크
A148250,알엔투테크놀로지
A149950,아바텍
A149980,하이로닉
A150840,인트로메딕
A150900,파수
A151860,KG ETS
A151910,나노스
A153460,네이블
A153490,우리이앤엘
A153710,옵티팜
A154030,아시아종묘
A154040,솔루에타
A155650,와이엠씨
A156100,엘앤케이바이오
A158310,스타모빌리티
A158430,아톤
A159580,제로투세븐
A159910,스킨앤스킨
A160550,NEW
A160600,이큐셀
A160980,싸이맥스
A161570,THE MIDONG
A161580,필옵틱스
A163730,핑거
A164060,이루다
A166090,하나머티리얼즈
A166480,코아스템
A168330,내츄럴엔도텍
A169330,엠브레인
A170030,현대공업
A170790,파이오링크
A170920,엘티씨
A171010,램테크놀러지
A171090,선익시스템
A171120,라이온켐텍
A173130,오파스넷
A173940,에프엔씨엔터
A174880,장원테크
A174900,앱클론
A175140,인포마크
A175250,아이큐어
A176440,에이치엔티
A177350,베셀
A177830,파버나인
A178320,서진시스템
A178780,유테크
A178920,PI첨단소재
A179290,엠아이텍
A179900,유티아이
A180400,캔서롭
A181340,이즈미디어
A182360,큐브엔터
A182400,엔케이맥스
A182690,테라셈
A183300,코미코
A183490,엔지켐생명과학
A184230,SGA솔루션즈
A185490,아이진
A186230,그린플러스
A187220,디티앤씨
A187270,신화콘텍
A187420,제노포커스
A187790,나노
A187870,디바이스이엔지
A189300,인텔리안테크
A189330,씨이랩
A189690,포시에스
A189860,서전기전
A189980,흥국에프엔비
A190510,나무가
A190650,코리아에셋투자증권
A191410,육일씨엔에쓰
A191420,테고사이언스
A192250,케이사인
A192390,윈하이텍
A192410,감마누
A192440,슈피겐코리아
A193250,와이제이엠게임즈
A194480,데브시스터즈
A194700,노바렉스
A195440,퓨전
A195500,마니커에프앤지
A195990,에이비프로바이오
A196170,알테오젠
A196300,애니젠
A196450,코아시아옵틱스
A196490,디에이테크놀로지
A196700,웹스
A197140,디지캡
A198080,엔피디
A198440,고려시멘트
A199820,제일전기공업
A200130,콜마비앤에이치
A200230,텔콘RF제약
A200470,에이팩트
A200670,휴메딕스
A200710,에이디테크놀로지
A200780,비씨월드제약
A201490,미투온
A203450,유니온커뮤니티
A203650,드림시큐리티
A203690,프로스테믹스
A204020,그리티
A204270,제이앤티씨
A204620,글로벌텍스프리
A204630,스튜디오산타클로스
A204840,지엘팜텍
A205100,엑셈
A205470,휴마시스
A205500,액션스퀘어
A206400,베노홀딩스
A206560,덱스터
A206640,바디텍메드
A206650,유바이오로직스
A207760,미스터블루
A208140,정다운
A208340,파멥신
A208350,지란지교시큐리티
A208370,셀바스헬스케어
A208640,썸에이지
A208710,바이오로그디바이스
A208860,엔지스테크널러지
A211270,AP위성
A212560,네오오토
A213090,미래테크놀로지
A213420,덕산네오룩스
A214150,클래시스
A214180,민앤지
A214260,라파스
A214270,퓨쳐스트림네트웍스
A214310,세미콘라이트
A214370,케어젠
A214430,아이쓰리시스템
A214450,파마리서치프로덕트
A214610,미코바이오메드
A214680,디알텍
A214870,뉴지랩
A215000,골프존
A215090,이디티
A215100,로보로보
A215200,메가스터디교육
A215360,우리산업
A215380,우정바이오
A215480,토박스코리아
A215600,신라젠
A215790,이노인스트루먼트
A216050,인크로스
A216080,제테마
A217190,제너셈
A217270,넵튠
A217330,싸이토젠
A217480,에스디생명공학
A217500,러셀
A217600,켐온
A217620,디딤
A217730,강스템바이오텍
A217820,엔에스
A218150,미래생명자원
A218410,RFHIC
A219130,타이거일렉
A219420,링크제니시스
A219550,MP한강
A219750,지티지웰니스
A220100,퓨쳐켐
A220180,핸디소프트
A220260,켐트로스
A220630,해마로푸드서비스
A221610,자안
A221840,하이즈항공
A221980,케이디켐
A222040,코스맥스엔비티
A222080,씨아이에스
A222110,팬젠
A222420,쎄노텍
A222800,심텍
A222810,마이더스AI
A222980,한국맥널티
A223250,드림씨아이에스
A223310,경남제약헬스케어
A224060,코디엠
A224110,에이텍티앤
A225190,삼양옵틱스
A225220,제놀루션
A225330,씨엠에스에듀
A225430,케이엠제약
A225530,보광산업
A225570,넷게임즈
A225590,패션플랫폼
A226330,신테카바이오
A226340,본느
A226350,아이엠텍
A226360,이엑스티
